2026-04-17 19:59:04 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:04 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:04 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:05 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:06 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:07 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:08 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:09 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:10 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:11 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
